# Every key this machine can say, and the English under it.
#
# GENERATED. Do not edit by hand:
#   UPDATE_VOCABULARY_SNAPSHOT=1 cargo test -p alo-saying \
#     --test a_published_sentence_keeps_its_key
#
# It exists so that the English under a published key cannot move without somebody
# answering whether the meaning moved with it. A translation is keyed, so editing the
# English under a key leaves every translation of it rendering perfectly and saying
# something this product no longer says. ADR 0068 decides what may change; reworded.txt
# beside this file is where a rewording that kept its key says why the meaning held.
#
# One line per key: the key, a tab, then the English exactly as the crate declares it.

access.a-setting	a setting
installer.remains.the-next-start	The next restart starts the alo OS installer, which installs onto the disk you named
installer.remains.the-way-back	The program that restarts this computer into alo OS is still installed. You can remove it in Windows' own settings
installer.remove.disk-not-cleared	This computer no longer starts alo OS, but the disk alo OS is on could not be erased. Its files are still there, and you can erase it in Windows' own disk management
installer.remove.entry-not-removed	alo OS could not be taken out of the systems this computer starts, so nothing was erased and alo OS is still here
installer.remove.erasing	Erasing {disk}. This takes a moment
installer.remove.gone	alo OS is removed. {disk} is empty, its space is free, and this computer starts Windows as it did before alo OS was installed
installer.remove.gone-but-the-copy-stays	alo OS is removed. {disk} is empty, its space is free, and this computer starts Windows as it did. This program is still on this computer, because it cannot delete itself while it is running; you can delete it yourself
installer.remove.not-agreed	Nothing was changed. alo OS is still on this computer
installer.remove.not-found	The disk alo OS is on could not be found, so nothing was changed. Nothing was erased
installer.remove.not-read	This computer's disks, or the systems it can start, could not be read, so nothing was changed
installer.remove.not-there	alo OS is not among the systems this computer can start, so there is nothing to remove. Nothing was changed
installer.remove.starting	This removes alo OS from this computer. Windows, and your files on it, are not touched
installer.remove.type-the-disks-name	To remove alo OS, type the name of that disk, exactly as it is written above, and press Enter. To leave everything as it is, press Enter without typing anything
installer.remove.will-erase	alo OS is on the disk {disk}. Removing it erases that disk: alo OS itself, and everything kept in it. The space becomes free again, and Windows starts as it does now
installer.restart-it-yourself	Everything is ready, and this computer could not restart by itself. Restart it to continue installing alo OS
installer.restarting	Everything is ready. This computer restarts in a few seconds, and installing continues after the restart
installer.secure-boot-not-read	Whether Secure Boot is on could not be found out, so nothing was changed
installer.secure-boot-on	Secure Boot is on, and the part of alo OS that starts a computer is not yet approved to start with it, so nothing was changed
installer.shrinking-windows	Making Windows on {volume} {area} GB smaller
installer.starting	This is the alo OS installer. It checks this computer first, and changes nothing until you agree
installer.starting-not-read	How this computer starts could not be found out, so nothing was changed
installer.switch.agreed	restart
installer.switch.not-agreed	Nothing was changed, and this computer starts as it did
installer.switch.not-read	The systems this computer can start could not be read, so nothing was changed
installer.switch.not-set	This computer could not be told to start alo OS next, so nothing was changed
installer.switch.not-there	alo OS is not among the systems this computer can start, so there is nothing to restart into. Nothing was changed
installer.switch.restart-it-yourself	This computer is set to start alo OS next. Restart it yourself when you are ready
installer.switch.restarting	Starting alo OS. This computer restarts in a few seconds
installer.switch.starting	This restarts this computer into alo OS. Nothing else about this computer is changed
installer.switch.type-to-agree	To restart into alo OS now, type {word} and press Enter. To leave everything as it is, press Enter without typing anything
installer.switch.will-restart	This computer restarts into alo OS once. Windows stays the one it starts normally, and restarting again comes back to Windows
installer.system.alo-os	alo OS
installer.system.windows	Windows
installer.turning-fast-startup-off	Turning Windows' Fast Startup off. Windows keeps hibernation, and starts and shuts down as before
installer.type-the-disks-name	To agree, type the name of the disk alo OS replaces, exactly as it is written above, and press Enter. Everything on that disk is replaced. To stop, press Enter without typing anything
installer.will.add-the-entry	An entry named alo OS is added to the systems this computer can start. Windows stays the one it starts normally
installer.will.make-the-area	A {area} GB area for the installer is made in that space, on the disk {disk}
installer.will.restart	This computer restarts once into the installer, which replaces everything on the disk you name below with alo OS, then restarts again
installer.will.shrink-windows	Windows on {volume} is made {area} GB smaller. Your files and applications stay where they are
installer.windows-disk-not-supported	The disk {disk} that Windows is on is laid out in an older way this installer does not support, so nothing was changed
installing.cannot-be-written	The disk you chose, {disk}, is in use or cannot be written to, so nothing was changed
installing.checking-it-is-genuine	Checking over the internet that this download is a genuine alo OS
installing.checking-the-disk	Checking that {disk} is safe to install onto
installing.choice-not-understood	The disk chosen for alo OS could not be understood, so nothing was changed
installing.connecting	Connecting to the internet
installing.damaged	This installer is damaged, so nothing was changed. Download alo OS again
installing.disk-not-connected	The disk you chose, {disk}, is not connected to this computer, so nothing was changed
installing.disks-not-read	The disks in this computer could not be read, so nothing was changed
installing.genuine	This is a genuine alo OS
installing.holds-another-system	The disk you chose, {disk}, holds another operating system, so nothing was changed
installing.holds-this-installer	The disk you chose, {disk}, holds this installer itself, so nothing was changed
installing.installed	alo OS is installed. This computer restarts in a few seconds
installing.installing	Installing alo OS onto {disk}. Everything that was on that disk is being replaced. This takes a while, and this screen will say when it is done
installing.looking-for-the-disk	Looking for the disk you chose: {disk}
installing.no-disk-chosen	No disk was chosen for alo OS, so nothing was changed
installing.not-a-whole-disk	{disk} is part of a disk rather than a whole disk, so nothing was changed
installing.not-genuine	This download is not a genuine alo OS, so nothing was changed
installing.not-installed	alo OS could not be installed onto {disk}. That disk may now hold part of alo OS; nothing else on this computer was changed. Restart to try again
installing.not-reachable	alo OS could not be downloaded, so nothing was changed. Check that this computer is connected to the internet by a network cable, then restart to try again
installing.reading-the-choice	Reading which disk you chose before the restart
installing.restart-when-ready	You can turn this computer off or restart it now
installing.starting	alo OS is being installed on this computer. Each step is written here as it happens
installing.still-installing	Still installing alo OS. Leave the computer on
installing.tidied	This computer now starts alo OS, with Windows behind it, and the installer's space is back
installing.tidy-entries-not-read	The list of systems this computer can start could not be read, so it was left as it is
installing.tidy-not-whole	alo OS is installed and starts. Some tidying up could not be finished, and you can do it      from alo OS once it has started
installing.tidying	Tidying up: naming alo OS in the start-up menu, putting Windows behind it, and taking the      installer's own space back
keeping-up.already-waiting	This update is already waiting for your next restart
keeping-up.answer-not-understood	The answer about whether there is an update could not be understood, so nothing on this machine has changed
keeping-up.changed-since-it-was-found	This machine changed after the update was found, so nothing was changed. Check for the update again
keeping-up.going-back.already-waiting	This machine will already go back to the version it ran before the next time you restart
keeping-up.going-back.at-the-next-restart	Go back the next time I restart
keeping-up.going-back.changed-since-it-was-offered	This machine changed after going back was offered, so nothing was changed. Look again at what it can go back to
keeping-up.going-back.no-longer-kept	The version of its system this machine ran before is no longer kept on it, so it cannot go back to it
keeping-up.going-back.not-prepared	Going back could not be prepared, so nothing was changed. The next restart starts this machine as it is now
keeping-up.going-back.nothing-before	This machine has no earlier version of its system to go back to
keeping-up.going-back.now	Restart now and go back, which closes the applications that are open
keeping-up.going-back.offered	This machine can go back to the version of its system it ran before its last update. Your files and your own settings stay as they are. Accounts, passwords and settings for the whole machine that changed since that update go back to how they were
keeping-up.going-back.sets-aside-an-update	This machine can go back to the version of its system it ran before its last update. Your files and your own settings stay as they are. Accounts, passwords and settings for the whole machine that changed since that update go back to how they were. The update waiting for your next restart will not apply
keeping-up.going-back.waiting-for-the-restart	This machine will go back to the version it ran before the next time you restart. Your files stay as they are
keeping-up.never.closes-an-application	An update never closes an application you have open
keeping-up.never.interrupts	An update never interrupts what you are doing
keeping-up.never.restarts	An update never restarts this machine. It applies when you restart
keeping-up.not-an-update	This machine was asked to change its system from one version to that same version, so there was nothing to do and nothing was changed
keeping-up.not-genuine	This machine could not confirm that the new version came from alo OS, so it was not installed and nothing was changed. The next restart starts this machine as it is now
keeping-up.not-prepared	The update could not be prepared, so nothing was changed. The next restart starts this machine as it is now
keeping-up.not-written-down	This machine could not write down whether it started on an updated version of its system. Nothing else was changed
keeping-up.ready	An update is ready. It will apply when you choose, and nothing you are doing will be interrupted until then
keeping-up.ready-not-vouched-for	A new version of this machine's system is available, but this machine cannot confirm that it came from alo OS. It will not be applied unless it can be confirmed
keeping-up.running-not-known	Which version of its system this machine is running could not be read, so nothing was changed
keeping-up.undo.a-model-was-told	A model was told this, and nothing can untell it
keeping-up.undo.an-application	Opening, arranging or closing an application is not something your machine puts back, and an application that closed may have let go of what was open in it
keeping-up.undo.an-application-installed	Removing an application is yours to do, where you install and remove them, rather than something put back here
keeping-up.undo.changed-since	Something this would put back has changed since, so putting it back would take away that newer change too
keeping-up.undo.forgetting	Forget what your files were before the changes the agent made, so that none of them can be put back afterwards. This frees the space it is holding
keeping-up.undo.it-left	This left your machine, and nothing here can call it back
keeping-up.undo.it-only-looked	This only looked at something, so nothing changed that could be put back
keeping-up.undo.it-was-printed	This was printed on paper, which your machine cannot take back
keeping-up.undo.no-longer-kept	What your files were before this change is no longer kept, so it cannot be put back
keeping-up.undo.not-a-window	How far back changes can be put back has to be at least one day and at least one change, so this was not kept
keeping-up.undo.not-an-agents	No agent did this, so there is nothing of an agent's to put back
keeping-up.undo.not-one-of-the-changes	This is not one of the changes your machine can put back
keeping-up.undo.nothing-happened	Nothing happened here, so there is nothing to put back
keeping-up.undo.nothing-keeps-what-was-there	This machine does not keep what your files were before the agent changed them, so it cannot put them back
keeping-up.undo.nothing-left	Nothing of this change is left to put back
keeping-up.undo.offered	Put back {what}, as it was before the agent changed it on {when}
keeping-up.undo.the-turn-was-not-kept	There was not enough room to keep what your files were before this change, so it cannot be put back
keeping-up.up-to-date	This machine is up to date
keeping-up.waiting-for-the-restart	The update will apply the next time you restart. Your files and settings stay as they are
keeping-up.when.at-the-next-restart	Apply it the next time I restart
keeping-up.when.now	Restart now and apply it, which closes the applications that are open
keeping.a-link	nothing was read from {path}, because it is a link to somewhere else rather than this machine's own record — what a record says is what everybody is told happened here, so it is read where it is kept and nowhere a link points
keeping.could-not-be-added-to	something that happened could not be added to the record at {path}, so the record is no longer all of what happened — {why}
keeping.could-not-be-opened	the record at {path} could not be opened, so nothing this machine's agent does can be written down — {why}
keeping.could-not-be-read	the record at {path} could not be read — {why}
keeping.could-not-be-shortened	the record at {path} could not be shortened, and nothing was removed from it — {why}
keeping.damage.unfinished	the last thing written here did not finish being written, which is what a machine losing power in the middle of something looks like
keeping.damage.unreadable	part of what was written here cannot be read, so this record is not all of what happened — nothing more will be removed from it until somebody has looked at it
keeping.damaged	nothing was removed from the record at {path}, because part of it cannot be read — a record with something wrong in it is looked at before it is shortened, not tidied up
keeping.disagreement.before-it-begins	this record is not what it says it is — something in it happened before the moment it says it starts at, and a shortening never leaves anything from before where it cut
keeping.disagreement.runs-backwards	this record is not what it says it is — what is written in it does not run in the order it happened, and this machine only ever writes down what happened next
keeping.forever	everything this machine's agent has done is kept
keeping.from-a-newer-alo	the record at {path} was written by a newer alo OS than this one, so nothing has been written to it — adding to a record in a shape this version does not know would leave one neither version can read
keeping.no-days-at-all	say how many days this record is kept for, or that it is kept for good — no days at all is a machine that keeps no evidence of what its agent did
keeping.not-a-record	{path} is not an alo OS record, so nothing has been written to it — every record begins with a line saying what it is
keeping.not-there	there is no record at {path} — a machine with no record is not a machine that has done nothing, so this is worth finding out about before it is replaced with an empty one
keeping.record.shortened	this record does not go all the way back — what happened before it starts has aged out and been removed
keeping.record.whole	this is everything that has happened on this machine — nothing has been removed from it
keeping.somebody-elses	nothing was read from {path}, because it belongs to somebody other than you and this machine — a record of what happened here is only worth reading while nobody else could have written it
keeping.writable-by-others	nothing was read from {path}, because anybody signed in to this machine could write to it — a record of what happened here is only worth reading while nobody else could have written it
keyboards.compose.caps-lock	Caps Lock, which then stops locking capitals
keyboards.compose.menu	The Menu key
keyboards.compose.none	No compose key
keyboards.compose.right-ctrl	The right-hand Ctrl key
keyboards.compose.right-super	The right-hand key with the Windows logo on it
keyboards.compose.scroll-lock	Scroll Lock
keyboards.kept.another-format	your keyboard settings at {path} were written for a different alo OS than this one, so nothing in the file has been used
keyboards.kept.not-expressible	this alo OS could not write that change into keyboard settings at {path} it can read back again, so nothing about your keyboards has changed
keyboards.kept.not-read	your keyboard settings at {path} could not be read, so you are typing on the keyboard alo OS ships
keyboards.kept.not-replaced	your keyboard settings at {path} could not be read, so that change has not been written over them and nothing about your keyboards has changed — correct the file, or put keyboards back as alo OS ships them
keyboards.kept.not-understood	your keyboard settings at {path} are not settings alo OS can read, so nothing in the file has been used and you are typing on the keyboard alo OS ships
keyboards.kept.not-understood-at	your keyboard settings at {path} stop making sense at line {line}, so nothing in the file has been used and you are typing on the keyboard alo OS ships
keyboards.kept.not-written	your keyboard settings at {path} could not be written, so nothing about your keyboards has changed
keyboards.kept.unknown-key	your keyboard settings at {path} say {key}, which is not something alo OS can change about keyboards, so nothing in the file has been used
keyboards.machine.not-there	the list of keyboards this machine has could not be read from {path}, so no keyboard can be added — the keyboard you are typing on is unchanged
keyboards.machine.nothing-composes	the table that turns a sequence of keys into one letter could not be read from {path}, so accents typed with a dead key or a compose key will not appear — the letters printed on your keyboard are unaffected
keyboards.refused.already-typing	you can already type that way, so nothing has been added
keyboards.refused.already-yours	that keyboard is already one of yours, so nothing has been added
keyboards.refused.no-keyboard-for-this-language	alo OS does not yet know which keyboard {language} is typed on, so nothing has been added — you can still add the keyboard yourself from the list
keyboards.refused.not-one-we-have	this machine does not have that keyboard, so nothing has been added
keyboards.refused.not-yours	that keyboard is not one of yours, so nothing has been removed
keyboards.refused.the-last-one	this is your only keyboard and you need one to type, so it has been kept — add another first, then remove this one
keyboards.refused.typed-on-a-keyboard	{language} is typed on a keyboard rather than by choosing characters as you type, so nothing has been added — add the keyboard for it instead
keyboards.switch.shadowed	{chord} switches between your keyboards, and you have also given it to {action}, so it will do that instead — change one of them to switch keyboards with it again
leaving.kept.another-format	what you chose about signing out, at {path}, was written for a different alo OS than this one, so nothing in the file has been used and nothing has been reopened
leaving.kept.not-expressible	this alo OS could not write that into {path} in a way it can read back again, so nothing has been changed
leaving.kept.not-read	what you chose about signing out, at {path}, could not be read, so nothing has been reopened
leaving.kept.not-replaced	what you chose about signing out, at {path}, could not be read, so that change has not been written over it and nothing has been changed — correct the file, or put this back as alo OS ships it
leaving.kept.not-understood	what you chose about signing out, at {path}, is not something alo OS can read, so nothing in the file has been used and nothing has been reopened
leaving.kept.not-understood-at	what you chose about signing out, at {path}, stops making sense at line {line}, so nothing in the file has been used and nothing has been reopened
leaving.kept.not-written	what you chose about signing out could not be written to {path}, so nothing has been changed
leaving.kept.unknown-key	what you chose about signing out, at {path}, says {key}, which is not something alo OS keeps about signing out, so nothing in the file has been used
leaving.log-out-anyway	Log out anyway, and lose whatever has not been saved
leaving.setting.reopen	Open my applications again when I sign in
leaving.some-have-already-closed	Some of your applications have already closed
leaving.would-not-close	{application} has not closed, and may have work you have not saved
letting-go.asking.not-left	this machine could not be asked to forget what it is keeping, so nothing has changed and everything the agent changed can still be put back — try again, and if it keeps happening, restart this machine
letting-go.kept.another-format	how far back you asked this machine to keep what the agent changed, at {path}, was written for a different alo OS than this one, so nothing in the file has been used and it keeps what alo OS ships
letting-go.kept.not-expressible	this alo OS could not write that change to {path} in a way it can read back again, so nothing about how far back it keeps what the agent changed has changed
letting-go.kept.not-read	how far back you asked this machine to keep what the agent changed, at {path}, could not be read, so it keeps what alo OS ships
letting-go.kept.not-replaced	how far back you asked this machine to keep what the agent changed, at {path}, could not be read, so that change has not been written over it and nothing has changed — correct the file, or put this back as alo OS ships it
letting-go.kept.not-understood	how far back you asked this machine to keep what the agent changed, at {path}, is not something alo OS can read, so nothing in the file has been used and it keeps what alo OS ships
letting-go.kept.not-understood-at	how far back you asked this machine to keep what the agent changed, at {path}, stops making sense at line {line}, so nothing in the file has been used and it keeps what alo OS ships
letting-go.kept.not-written	how far back this machine keeps what the agent changed could not be written to {path}, so nothing about it has changed
letting-go.kept.unknown-key	how far back you asked this machine to keep what the agent changed, at {path}, says {key}, which is not something alo OS can change about it, so nothing in the file has been used
locking.locked	This machine is locked
locking.somebody-else	Somebody else
looking.it-refused	The place this machine's updates come from would not answer this machine, so nothing on this machine has changed
looking.no-way-out	This machine cannot reach the place its updates come from, so it cannot tell whether there is a newer version. Nothing on this machine has changed
looking.nothing-came-back	The place this machine's updates come from did not answer, so nothing on this machine has changed
looking.nothing-is-offered	The place this machine's updates come from is offering no version of this system, so nothing on this machine has changed
measuring.filling.another-filesystem	On another filesystem, so what is inside it is not counted here.
measuring.filling.counted-elsewhere	Counted under another of its names, {at}.
measuring.filling.not-counted	What is filling {at} could not be counted. {why}
measuring.filling.not-finished	The count stopped before everything inside it was seen.
measuring.filling.not-read	Could not be read, so nothing inside it is counted.
measuring.network.this-process-alone	Network traffic counted for this process alone.
measuring.no-interval	Two readings need time between them.
measuring.not-on-this-host	What is running can only be read on alo OS itself.
measuring.number.not-said	Not counted for this process.
measuring.number.not-yet	Started since the last reading.
measuring.number.withheld	The kernel did not show this.
measuring.process.gone	Ended since the last reading.
measuring.same-moment	Both readings are from the same moment, so nothing can be said about a rate.
measuring.unreadable	What is running could not be read from {at}.
measuring.verb.missing	{verb} was performed without {argument}, which it declares — this is a verb to write again, not a call to make again
measuring.verb.not-this-crates	nothing here measures {verb} — it says what is running and what is filling a folder, and anything else is somewhere else's to do
measuring.verb.what-is-filling.argument.folder	the folder to count
measuring.verb.what-is-filling.purpose	count what is filling a folder, as a tree of sizes
measuring.verb.what-is-filling.sentence	count what is filling {folder}
measuring.verb.what-is-running.argument.proc	the kernel's own directory of what is running, which on this machine is /proc
measuring.verb.what-is-running.purpose	list what is running on this machine and what each process is using
measuring.verb.what-is-running.sentence	list what is running and what it is using, read from {proc}
menus.action.ask-the-agent-about-this	Ask the agent about this
menus.action.change-the-background	Change desktop background
menus.action.close-the-window	Close
menus.action.copy	Copy
menus.action.cut	Cut
menus.action.move-to-the-wastebasket	Move to wastebasket
menus.action.open	Open
menus.action.open-settings	Settings
menus.action.open-with	Open with…
menus.action.paste	Paste
menus.action.rename	Rename
menus.action.select-all	Select all
menus.action.the-left-half	Left half of screen
menus.action.the-right-half	Right half of screen
menus.refused.not-on-this-menu	that is not something this menu offers, so nothing has happened
models.agent.elsewhere	you can use a model on a machine you have paired with on your network, or a provider you add — whichever you prefer, and alo OS will not choose for you
models.agent.none-clears-the-bar	the models that run on this machine do not produce a workable instruction often enough to be given the agent
models.agent.none-measured	no model that runs on this machine has been measured driving the verbs, so alo OS will not give one the agent
models.agent.nothing-to-choose-from	no model in this catalogue both runs on this machine and can be used without reading a licence first
models.agent.weights-you-already-have	you can point alo OS at weights you already have on this machine, and it will run them — this catalogue is what alo OS offers, not everything it can run
models.brought.already-brought	you already have weights called {name}
models.brought.file-not-read	the file at {path} could not be looked at, so nothing has been added
models.brought.fits	these weights fit in the memory this machine has
models.brought.grade-not-placed	the weights called {name} carry a grade that does not say which machine measured them, so it is not used
models.brought.larger-than-memory	these weights are larger than the memory this machine has — alo OS will still run them, and this machine will be slow
models.brought.licence-is-yours	these weights are yours, and so are their terms — alo OS states the licence of what it offers and has not read the licence of a model it did not offer you
models.brought.measured-not-the-agent	these weights have been measured driving the agent's verbs, not often enough to be given agent turns — they still answer your questions
models.brought.measured-the-agent	these weights have been measured driving the agent's verbs dependably, so they can be given agent turns
models.brought.no-file-there	there is no file at {path}, so nothing has been added
models.brought.not-a-file	{path} is not a file, so nothing has been added
models.brought.not-measured	nobody has measured whether these weights can drive the agent's verbs, and alo OS has not guessed — they answer your questions now, and get an agent turn once a measurement says they can
models.brought.unnamed	say which weights: the name the model runtime on this machine knows them by
models.graded.another-way	not measured the way an agent turn asks: it was measured another way, or not at all, and neither says what this machine would get
models.graded.as-a-turn-asks	measured the way an agent turn asks: shown the words this machine shows a model, and held to the shape of the request it must answer with
models.key.blank	paste the key this provider gave you, or leave it out if it does not need one
models.key.not-sendable	that key has something in it that cannot be sent — copy it again, without the line around it
models.not-tried.key-not-accepted	that key was not accepted — check it is the whole key, and that it is this provider's
models.not-tried.needs-a-key	this provider will not answer without a key — add the one it gave you
models.not-tried.not-understood	that address answered, but not like a provider this system can use — check it is the address of the API rather than of the website
models.not-tried.not-well	the provider answered {status}, which is a problem at their end — try again in a moment
models.not-tried.redirected	that address sends this machine somewhere else, and a key is not carried to an address nobody agreed to — use the address the provider documents
models.not-tried.unreachable	nothing answered at that address — check the address, and that this machine is online
models.policy.not-this-machine	this machine is set to answer only on itself, and {source} is somewhere else
models.policy.outside-the-building	this machine is set to keep questions in the building, and {source} would send this one outside it
models.policy.outside-the-region	this machine is set to use inference in {region} only, and {source} does not meet that
models.policy.region-unstated	this machine is set to use inference in {region} only, and {provider} has not said where it runs — unknown does not count as there
models.provider.already-added	you already have a provider called {name}
models.provider.insecure-endpoint	this address is not https, so your key and your questions would travel unencrypted — use https, or a service on this machine
models.provider.not-an-address	that does not look like an address: it should start with https://
models.provider.unnamed	give the provider a name — it is what you will see when it answers
models.road.on-the-card	this machine is running the model on its graphics card
models.road.the-processor-another-vendor	this machine's graphics card, made by {vendor}, is not one the model runtime puts models on, so it is running the model on its processor
models.road.the-processor-no-card	this machine has no graphics card, so it is running the model on its processor
models.road.the-processor-no-driver	this machine has a graphics card made by {vendor} and no driver that can reach it, so it is running the model on its processor
models.road.the-processor-not-enough-on-the-card	this machine's graphics card has less memory than this model needs, so it is running the model on its processor
models.road.the-processor-the-machine-would-not-say	this machine did not say what graphics hardware it has, and it is running the model on its processor
models.road.the-processor-the-runtime-left-it-there	this machine has a graphics card the model runtime can use, and the model is running on the processor
models.runtime.download-incomplete	the download stopped before it finished, and nothing was installed
models.runtime.not-a-path-on-this-disk	{path} is not a file on this machine, and only a file on this machine is offered to the model runtime
models.runtime.not-enough-disk	there is not enough room on this disk for that download
models.runtime.not-installed	{model} is not installed
models.runtime.not-offered	{model} is not a model this system offers
models.runtime.not-the-pinned-file	the file that arrived for {model} is not the one this system checked, so nothing was installed. {expected} was expected, and {arrived} arrived
models.runtime.nothing-to-bring	{model} names no file on this machine, so there is nothing to tell the model runtime about
models.runtime.pin-not-checked	the model runtime would not say which file it has for {model}, so it could not be checked against the one this system vouches for, and nothing was installed
models.runtime.took-too-long	the model on this machine did not answer in the time alo OS waits — a smaller model, or a shorter question, answers sooner
models.runtime.unreachable	the model runtime is not reachable
models.runtime.unusable	the model runtime gave an answer that could not be used
models.source.hosted	by {provider}, in {region}
models.source.hosted-unstated	by {provider}, which has not said where it runs
models.source.paired-machine	on {machine}, on your network
models.source.this-machine	on this machine
models.source.this-machines-address	by a service at this machine's address — alo cannot verify where it was processed
models.tried.list-was-cut	the list is longer than this and was cut
models.tried.some-names-left-out	some names could not be shown and were left out
models.tried.worked	that worked, and this provider says what it offers
models.tried.worked-with-nothing	that worked, and this provider offers no models to choose from
models.unmeasured.the-runtime-refused-the-file	not measured yet: the model runtime alo OS ships could not answer with this file
models.unmeasured.too-large-for-the-measuring-machine	not measured yet: it needs more memory than the machine that measured this catalogue has
models.unmeasured.weights-not-published	not measured yet: there are no published weights this catalogue can point at
nearby.may.ask-its-models	Ask questions of the models on this machine
nearby.may.reach-its-workspace	Reach the workspace this machine serves
nearby.not-paired.both-have-not-agreed	Both machines have to agree. Confirm this on the other machine as well.
nearby.not-paired.has-to-end	Choose how long this pairing lasts. Pairings always end, and can be renewed.
nearby.not-paired.not-with-the-one-that-asked	This machine is not paired with the one that asked, so nothing it asked for was considered.
nearby.not-paired.permits-nothing	Choose at least one thing the other machine may ask for.
nearby.not-paired.start-again	The two machines could not agree a key between them. Start the pairing again.
nearby.not-paired.with-itself	This is the machine you are using.
nearby.not-proposed.already-waiting	A proposal between these two machines is already waiting. Answer that one, or let it lapse.
nearby.not-proposed.could-not-be-reached	The other machine could not be reached, or did not answer as an alo machine would. Try again.
nearby.not-proposed.for-another-machine	The proposal named a different machine from the one it reached, so nobody there was shown it. Choose the machine again.
nearby.not-proposed.from-an-address-not-seen	The other machine has not seen this one on the network, so nobody there was shown the proposal. Make sure both machines can see each other, then try again.
nearby.not-proposed.nobody-at-the-other-machine	Nobody is at the other machine to show the proposal to.
nearby.not-proposed.not-accepted-there	The other machine did not accept the proposal. Start the pairing again.
nearby.not-proposed.not-answered-yet	The other machine has not answered yet, so there is no code to confirm.
nearby.not-proposed.not-confirmed-by-that-machine	A confirmation arrived that did not come from the machine being paired with, so it was not counted.
nearby.not-proposed.nothing-waiting	No proposal is waiting between these two machines. Start the pairing again.
nearby.not-proven.already-used	The same message from a paired machine arrived a second time, so the second was not considered.
nearby.not-proven.from-another-moment	A message from a paired machine was stamped with a time more than two minutes from this machine's, so it was not considered. Check both machines' clocks.
nearby.not-proven.not-from-the-machine-it-names	Something arrived naming a paired machine but could not prove it came from there, so nothing it asked for was considered.
notifying.held.cannot-tell-about-the-screen	Held because this machine cannot tell whether your screen is being shared or recorded
notifying.held.locked	Held until you unlock this machine
notifying.held.quiet-hours	Held because this is inside the hours you set aside
notifying.held.screen-is-shared	Held because your screen is being shared or recorded
notifying.held.you-asked-for-quiet	Held because you turned notifications off
notifying.kept.another-format	your notification settings at {path} were written for a different alo OS than this one, so nothing in the file has been used and notifications behave as alo OS ships them
notifying.kept.not-expressible	this alo OS could not write that change into notification settings at {path} it can read back again, so nothing about notifications has been changed
notifying.kept.not-read	your notification settings at {path} could not be read, so notifications behave as alo OS ships them
notifying.kept.not-replaced	your notification settings at {path} could not be read, so that change has not been written over them and nothing about notifications has been changed — correct the file, or put notifications back as alo OS ships them
notifying.kept.not-understood	your notification settings at {path} are not settings alo OS can read, so nothing in the file has been used and notifications behave as alo OS ships them
notifying.kept.not-understood-at	your notification settings at {path} stop making sense at line {line}, so nothing in the file has been used and notifications behave as alo OS ships them
notifying.kept.not-written	your notification settings at {path} could not be written, so nothing about notifications has been changed
notifying.kept.unknown-key	your notification settings at {path} say {key}, which is not something alo OS can change about notifications, so nothing in the file has been used
notifying.not-sent.no-action-name	A notification from {application} offered something it has no name for, so nothing has been shown
notifying.not-sent.no-label	A notification from {application} offered something with no words on it, so nothing has been shown
notifying.not-sent.no-title	A notification from {application} had nothing to read on it, so nothing has been shown
notifying.not-sent.not-a-notification	{application} did not ask to send a notification, so nothing has been shown
notifying.not-sent.too-many-things-to-do	A notification from {application} offered {offered} things to do and a notification may offer {most}, so nothing has been shown
notifying.nothing-waiting	Nothing is waiting
notifying.quiet-hours.begins-and-ends-at-once	hours that begin and end at the same time would say nothing about any part of the day
notifying.sender.alo-os-itself	alo OS itself
notifying.sender.the-agent	{agent}, the agent on this machine
notifying.sent-by	Sent by {who}
opening.appears.a-password-protected-document	an Office document protected with a password
opening.appears.a-program	a program
opening.cannot.a-program	This file is a program. Opening a file never runs a program, so it has not been opened
opening.cannot.damaged	This file is damaged: it is {what}, but it has been cut short or does not hold together inside, so it cannot be opened as it is
opening.cannot.empty	This file is empty: there is nothing in it to open
opening.cannot.nothing-here-opens-it	This is {what}, and nothing on this machine opens it or converts it into something that does
opening.cannot.password-protected	This is an Office document protected with a password, and this machine cannot open a document protected that way
opening.cannot.unrecognised	This machine does not recognise what this file is, so it has not opened it
opening.container.compressed	a compressed file
opening.container.older-office	a file in the format older Office documents are stored in
opening.converts-a-copy	This is {what}, and this machine opens it by converting a copy into {into}. The original stays exactly as it was, and what the copy could not carry over is said once it has been converted
opening.kind.autocad-drawing	an AutoCAD drawing
opening.kind.avi-video	an AVI video
opening.kind.excel-workbook	an Excel spreadsheet
opening.kind.flac-audio	a FLAC sound recording
opening.kind.gif-image	a GIF image
opening.kind.heic-photo	a photo in the format telephones save
opening.kind.jpeg-image	a JPEG image
opening.kind.matroska-video	a Matroska video
opening.kind.mp3-audio	an MP3 sound recording
opening.kind.mp4-audio	a sound recording in an MP4 file
opening.kind.mp4-video	an MP4 video
opening.kind.ogg-media	an Ogg file
opening.kind.older-excel-workbook	an Excel spreadsheet in the older format
opening.kind.older-powerpoint-presentation	a PowerPoint presentation in the older format
opening.kind.older-word-document	a Word document in the older format
opening.kind.opendocument-presentation	an OpenDocument presentation
opening.kind.opendocument-spreadsheet	an OpenDocument spreadsheet
opening.kind.opendocument-text	an OpenDocument text document
